lakeid,year,daynum,sampledate,item,value,layer,lastice
AL,1982,131,1982-05-11,drsif,12909.359999999999,surf,1982-05-01
AL,1982,131,1982-05-11,no3no2,9,surf,1982-05-01
AL,1982,131,1982-05-11,ph,7.76,surf,1982-05-01
AL,1982,145,1982-05-25,drsif,11710.079999999998,surf,1982-05-01
AL,1982,145,1982-05-25,no3no2,0,surf,1982-05-01
AL,1982,145,1982-05-25,ph,8.08,surf,1982-05-01
AL,1982,160,1982-06-09,drsif,11696.4,surf,1982-05-01
AL,1982,160,1982-06-09,no3no2,0,surf,1982-05-01
AL,1982,160,1982-06-09,ph,8,surf,1982-05-01
AL,1982,176,1982-06-25,drsif,10782.119999999999,surf,1982-05-01
AL,1982,176,1982-06-25,no3no2,0,surf,1982-05-01
AL,1982,176,1982-06-25,ph,8.05,surf,1982-05-01
AL,1982,186,1982-07-05,drsif,10766.16,surf,1982-05-01
AL,1982,186,1982-07-05,no3no2,8,surf,1982-05-01
AL,1982,186,1982-07-05,ph,8.43,surf,1982-05-01
AL,1982,202,1982-07-21,drsif,10975.919999999998,surf,1982-05-01
AL,1982,202,1982-07-21,ph,8.15,surf,1982-05-01
AL,1982,217,1982-08-05,drsif,11723.759999999998,surf,1982-05-01
AL,1982,217,1982-08-05,nh4,18,surf,1982-05-01
AL,1982,217,1982-08-05,no3no2,3,surf,1982-05-01
AL,1982,217,1982-08-05,ph,8.48,surf,1982-05-01
AL,1982,228,1982-08-16,drsif,12307.439999999999,surf,1982-05-01
AL,1982,228,1982-08-16,nh4,0,surf,1982-05-01
AL,1982,228,1982-08-16,no3no2,0,surf,1982-05-01
AL,1982,228,1982-08-16,ph,8.47,surf,1982-05-01
AL,1982,251,1982-09-08,drsif,13666.32,surf,1982-05-01
AL,1982,251,1982-09-08,nh4,0,surf,1982-05-01
AL,1982,251,1982-09-08,no3no2,0,surf,1982-05-01
AL,1982,251,1982-09-08,ph,7.67,surf,1982-05-01
AL,1982,264,1982-09-21,drsif,14204.4,surf,1982-05-01
AL,1982,264,1982-09-21,nh4,54,surf,1982-05-01
AL,1982,264,1982-09-21,no3no2,6,surf,1982-05-01
AL,1982,264,1982-09-21,ph,7.39,surf,1982-05-01
