lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2,weibull.max
AL,drsif_surfMax,1982-09-21,1982,264,267.3883161208695,0.9313495073023108,TRUE
AL,no3no2_surfMax,1982-11-08,1982,312,307.5678698491416,0.8220309597583154,TRUE
AL,ph_surfMax,1982-08-05,1982,217,201.0838223430577,0.7803999065420555,FALSE
AL,drsif_surfMax,1983-10-18,1983,291,0.11596887118693432,0.9745985892950128,FALSE
AL,nh4_surfMax,1983-10-18,1983,291,290.6455771235802,0.869092197096921,TRUE
AL,no3no2_surfMax,1983-11-16,1983,320,316.2167130061444,0.9361476435350083,TRUE
AL,ph_surfMax,1983-09-29,1983,272,238.4108132898397,0.59113766329473,TRUE
AL,drsif_surfMax,1984-10-15,1984,289,1.01359265396439,0.9826924972697846,FALSE
AL,nh4_surfMax,1984-06-05,1984,157,153.86806560741817,0.3653403653394346,TRUE
AL,no3no2_surfMax,1984-11-08,1984,313,311.44201236354013,0.9590162259928497,TRUE
AL,ph_surfMax,1984-08-14,1984,227,220.91629590073902,0.722882121535501,TRUE
AL,drsif_surfMax,1985-09-30,1985,273,262.23298830551425,0.907213612588787,TRUE
AL,nh4_surfMax,1985-09-30,1985,273,273.0453367185478,0.2841194168464579,TRUE
AL,no3no2_surfMax,1985-04-30,1985,120,106.51801739411401,0.8181709747633765,TRUE
AL,ph_surfMax,1985-08-07,1985,219,196.5520164071143,0.5774460902596951,FALSE
AL,doc_surfMax,1986-10-09,1986,282,281.8401713958856,0.9493187720919488,TRUE
AL,drsif_surfMax,1986-10-09,1986,282,282.14221895252956,0.8343040925384442,TRUE
AL,nh4_surfMax,1986-05-20,1986,140,146.9676014868872,0.5558356398398605,TRUE
AL,no3no2_surfMax,1986-04-24,1986,114,99.75619552415552,0.9876252664138645,TRUE
AL,ph_surfMax,1986-08-13,1986,225,203.08326750284527,0.5844164017788351,TRUE
AL,totnf_surfMax,1986-05-20,1986,140,132.93243645863285,0.8332772618820495,TRUE
AL,totnuf_surfMax,1986-10-09,1986,282,113.7546931645117,0.8686615967926735,FALSE
AL,totpuf_surfMax,1986-04-24,1986,114,96.49400048516146,0.3874401478271594,TRUE
AL,doc_surfMax,1987-09-10,1987,253,246.11865355612738,0.887949506385778,TRUE
AL,drsif_surfMax,1987-04-15,1987,105,0.03668172018070908,0.9864215801837324,FALSE
AL,nh4_surfMax,1987-10-05,1987,278,0.0971719260931134,0.43537921237656896,FALSE
AL,no3no2_surfMax,1987-04-15,1987,105,88.70592748014118,0.9046166447918592,TRUE
AL,ph_surfMax,1987-08-13,1987,225,218.94089662468275,0.9421364783837909,TRUE
AL,totnf_surfMax,1987-10-05,1987,278,279.2877470003335,0.896956982859231,TRUE
AL,totnuf_surfMax,1987-09-10,1987,253,237.70289938170515,0.6426159868066714,TRUE
AL,totpuf_surfMax,1987-04-15,1987,105,87.62952622732148,0.5325144679588381,TRUE
AL,doc_surfMax,1988-09-13,1988,257,267.90625115620946,0.9539240753088033,TRUE
AL,drsif_surfMax,1988-10-12,1988,286,276.06069290569627,0.8312621242815033,TRUE
AL,nh4_surfMax,1988-08-18,1988,231,232.64586875503937,0.7004367670015188,TRUE
AL,no3no2_surfMax,1988-04-26,1988,117,102.47010724844058,0.49560483183439363,TRUE
AL,ph_surfMax,1988-08-18,1988,231,207.42609238187418,0.8699537784867584,TRUE
AL,totnf_surfMax,1988-04-26,1988,117,99.91678646515936,0.43894534137533403,TRUE
AL,totnuf_surfMax,1988-04-26,1988,117,6.914582311747434,0.7336530280247986,FALSE
AL,totpuf_surfMax,1988-04-26,1988,117,99.89195953724483,0.30267475884813555,TRUE
AL,doc_surfMax,1989-07-25,1989,206,213.11824853770133,0.9194036417064112,TRUE
