lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2,weibull.max
AL,straton,1981-05-22,1981,142,NA,NA,NA
AL,straton,1982-05-11,1982,131,109.92758787585768,0.9397563245752952,TRUE
AL,straton,1983-05-10,1983,130,142.66007238425146,0.8714987110208234,TRUE
AL,straton,1984-05-23,1984,144,132.15166061507375,0.9302290980363864,TRUE
AL,straton,1985-04-30,1985,120,87.92979636542356,0.876733013569986,TRUE
AL,straton,1986-05-08,1986,128,120.01920779405219,0.9267651037753929,TRUE
AL,straton,1987-05-04,1987,124,112.73010733151217,0.9010142779100492,TRUE
AL,straton,1988-05-09,1988,130,127.4497887774839,0.9120980340176217,TRUE
AL,straton,1989-05-16,1989,136,123.30255792776443,0.9424490556245901,TRUE
AL,straton,1990-04-30,1990,120,111.30658196266522,0.910002645679788,TRUE
AL,straton,1991-05-21,1991,141,130.4679608389776,0.9457833304982557,TRUE
AL,straton,1992-05-18,1992,139,112.68798226617307,0.907256239764474,TRUE
AL,straton,1993-05-17,1993,137,129.58089949628388,0.9658470990841992,TRUE
AL,straton,1994-05-20,1994,140,121.11086918449548,0.891080881785055,TRUE
AL,straton,1995-05-30,1995,150,153.20298632526286,0.8593383583587273,TRUE
AL,straton,1996-05-30,1996,151,140.8807560946237,0.9780221977739174,TRUE
AL,straton,1997-05-13,1997,133,135.83972539087262,0.9566559911375833,TRUE
AL,straton,1998-04-22,1998,112,96.01327625469376,0.9175013331072556,TRUE
AL,straton,1999-05-06,1999,126,101.95941968867112,0.904799350668577,TRUE
AL,straton,2000-05-04,2000,125,107.46436950111439,0.9067238982463529,TRUE
AL,straton,2001-05-01,2001,121,118.00082546553641,0.9765062214453851,TRUE
AL,straton,2002-06-03,2002,154,150.00947170981698,0.9381641859189489,TRUE
AL,straton,2003-04-30,2003,120,141.06158559616608,0.9370874254304998,TRUE
AL,straton,2004-05-10,2004,131,143.6529259691325,0.8116391827481987,TRUE
AL,straton,2005-04-19,2005,109,138.95141731705831,0.9271052468336064,TRUE
AL,straton,2006-04-20,2006,110,128.15291500136107,0.90354130728476445,TRUE
AL,straton,2007-04-23,2007,113,115.61364031049644,0.9122068976292913,TRUE
AL,straton,2008-05-08,2008,129,115.97727732547801,0.8413519876791241,TRUE
AL,straton,2009-05-12,2009,132,160.57078102602082,0.6203419561298165,TRUE
AL,straton,2010-04-27,2010,117,120.05215868926476,0.905920592514151,TRUE
AL,straton,2011-05-17,2011,137,130.3034512771664,0.9583604781760258,TRUE
AL,straton,2012-05-14,2012,135,116.21505697642772,0.939693877160702,TRUE
AL,straton,2013-05-14,2013,134,137.88189734757927,0.9632074240304324,TRUE
AL,straton,2014-05-20,2014,140,130.40548261307092,0.9540290543949566,TRUE
AL,straton,2015-05-05,2015,125,127.28763246426098,0.8254202759642317,TRUE
AL,straton,2016-04-25,2016,116,124.32832218192185,0.9620661750905511,TRUE
AL,straton,2017-05-16,2017,136,127.68068635373527,0.9403537020284194,TRUE
AL,straton,2018-05-14,2018,134,115.17695541508728,0.8981721533396467,TRUE
AL,straton,2019-05-07,2019,127,136.45544541998945,0.9772643643778655,TRUE
AL,straton,2020-06-03,2020,155,134.44619817585297,0.9791488911161358,TRUE
AL,stratoff,1981-08-27,1981,239,NA,NA,NA
AL,stratoff,1982-10-05,1982,278,245.54932249338282,0.9397563245752952,TRUE
AL,stratoff,1983-09-29,1983,272,276.9544067547633,0.8714987110208234,TRUE
AL,stratoff,1984-10-15,1984,289,254.8336039643251,0.9302290980363864,TRUE
AL,stratoff,1985-09-12,1985,255,226.41723029024706,0.876733013569986,TRUE
AL,stratoff,1986-08-26,1986,238,243.69138191655716,0.9267651037753929,TRUE
AL,stratoff,1987-09-10,1987,253,247.39615334303653,0.9010142779100492,TRUE
AL,stratoff,1988-08-30,1988,243,246.11214714355629,0.9120980340176217,TRUE
AL,stratoff,1989-09-19,1989,262,255.9318535138338,0.9424490556245901,TRUE
AL,stratoff,1990-09-04,1990,247,255.93230778229454,0.910002645679788,TRUE
AL,stratoff,1991-09-10,1991,253,257.916617429084,0.9457833304982557,TRUE
AL,stratoff,1992-10-06,1992,280,251.67829702508715,0.907256239764474,TRUE
AL,stratoff,1993-09-09,1993,252,248.69831416467383,0.9658470990841992,TRUE
AL,stratoff,1994-09-21,1994,264,276.51408579093277,0.891080881785055,TRUE
AL,stratoff,1995-10-02,1995,275,275.4094200899062,0.8593383583587273,TRUE
AL,stratoff,1996-10-16,1996,290,257.0614375111325,0.9780221977739174,TRUE
AL,stratoff,1997-09-08,1997,251,257.9836193551661,0.9566559911375833,TRUE
AL,stratoff,1998-09-22,1998,265,266.57965622092007,0.9175013331072556,TRUE
AL,stratoff,1999-09-07,1999,250,260.07382038640435,0.904799350668577,TRUE
AL,stratoff,2000-10-16,2000,290,261.3985029960042,0.9067238982463529,TRUE
AL,stratoff,2001-09-17,2001,260,251.94042479123118,0.9765062214453851,TRUE
AL,stratoff,2002-09-24,2002,267,266.0537504995692,0.9381641859189489,TRUE
AL,stratoff,2003-09-17,2003,260,254.69527304027724,0.9370874254304998,TRUE
AL,stratoff,2004-10-11,2004,285,230.318580428697,0.8116391827481987,TRUE
AL,stratoff,2005-10-03,2005,276,256.11316436489597,0.9271052468336064,TRUE
AL,stratoff,2006-10-04,2006,277,254.99935111478894,0.90354130728476445,TRUE
AL,stratoff,2007-10-08,2007,281,245.05852939881544,0.9122068976292913,TRUE
AL,stratoff,2008-09-22,2008,266,250.68095429849166,0.8413519876791241,TRUE
AL,stratoff,2009-09-14,2009,257,289.9031027398391,0.6203419561298165,TRUE
AL,stratoff,2010-10-12,2010,285,248.82619726843046,0.905920592514151,TRUE
AL,stratoff,2011-10-05,2011,278,251.1567491610139,0.9583604781760258,TRUE
AL,stratoff,2012-10-01,2012,275,254.59826337017236,0.939693877160702,TRUE
AL,stratoff,2013-10-14,2013,287,275.8779697777752,0.9632074240304324,TRUE
AL,stratoff,2014-10-06,2014,279,264.86734924042946,0.9540290543949566,TRUE
AL,stratoff,2015-09-21,2015,264,269.49457381345724,0.8254202759642317,TRUE
AL,stratoff,2016-09-26,2016,270,268.1715159004782,0.9620661750905511,TRUE
AL,stratoff,2017-10-04,2017,277,274.4759123999977,0.9403537020284194,TRUE
AL,stratoff,2018-10-02,2018,275,273.3610320298238,0.8981721533396467,TRUE
AL,stratoff,2019-09-23,2019,266,256.9803351222245,0.9772643643778655,TRUE
AL,stratoff,2020-09-08,2020,252,243.92922707325795,0.9791488911161358,TRUE
AL,energy,1981-08-27,1981,239,NA,NA,NA
AL,energy,1982-07-21,1982,202,198.18991870089204,0.9781558597539532,TRUE
AL,energy,1983-07-20,1983,201,219.65293850861218,0.9857220646923998,TRUE
AL,energy,1984-08-14,1984,227,196.32571311710655,0.9785666259850243,TRUE
AL,energy,1985-08-07,1985,219,199.9936592786271,0.9817882877799762,TRUE
AL,energy,1986-07-28,1986,209,194.78892947154765,0.9824248292566754,TRUE
AL,energy,1987-07-27,1987,208,196.26196421626838,0.9872146592108294,TRUE
AL,energy,1988-08-03,1988,216,191.58150168830335,0.9792167124635953,TRUE
AL,energy,1989-07-25,1989,206,204.21733943237803,0.952470236469724,TRUE
AL,energy,1990-07-24,1990,205,214.30448576628683,0.9831632471022737,TRUE
AL,energy,1991-07-15,1991,196,191.5026729530581,0.9737415193714598,TRUE
AL,energy,1992-08-12,1992,225,205.6562775970556,0.971584368583539,TRUE
AL,energy,1993-08-26,1993,238,217.01998922345928,0.9806638638296046,TRUE
AL,energy,1994-06-27,1994,178,194.58145721444998,0.982130515460806,TRUE
AL,energy,1995-08-08,1995,220,212.37151187438016,0.9800697392335823,TRUE
AL,energy,1996-09-03,1996,247,181.84407289457343,0.9804312999154566,TRUE
AL,energy,1997-07-31,1997,212,202.7948562466959,0.9847156614086672,TRUE
AL,energy,1998-07-13,1998,194,200.87988827090766,0.9778821044325783,TRUE
AL,energy,1999-07-28,1999,209,210.48464843792874,0.974143061247044,TRUE
AL,energy,2000-07-12,2000,194,207.1297447642831,0.9806019124365019,TRUE
AL,energy,2001-08-06,2001,218,211.4012370697253,0.9769946139882094,TRUE
AL,energy,2002-07-16,2002,197,208.37039327079773,0.9881443531112138,TRUE
AL,energy,2003-08-18,2003,230,216.39201581460148,0.9707940986292313,TRUE
AL,energy,2004-07-22,2004,204,205.3472034363511,0.9743206047733735,TRUE
AL,energy,2005-08-08,2005,220,201.92498071099763,0.9740903422141044,TRUE
AL,energy,2006-07-25,2006,206,207.23853568762456,0.9765841307057141,TRUE
AL,energy,2007-07-30,2007,211,208.24606630748698,0.982623982436173,TRUE
AL,energy,2008-08-12,2008,225,209.60129135110586,0.9951553070422328,TRUE
AL,energy,2009-09-14,2009,257,209.2438611078436,0.952902482064743,TRUE
AL,energy,2010-08-02,2010,214,205.41606163362525,0.9782723630082378,TRUE
AL,energy,2011-08-08,2011,220,207.12701977078902,0.9860379009646071,TRUE
