lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2,weibull.max,weibull.adjust
AL,secchi_max,1982-07-05,1982,186,198.46726638533283,0.8563008214133578,TRUE,FALSE
AL,secchi_max,1984-06-21,1984,173,209.36071650645687,0.5806766021112064,TRUE,FALSE
AL,secchi_max,1989-05-29,1989,149,142.4164344822074,0.828804898771954,TRUE,FALSE
AL,secchi_max,1992-06-01,1992,153,142.72016389061233,0.5853088505344035,TRUE,FALSE
AL,secchi_max,1995-07-10,1995,191,184.1364438150486,0.7890891967150948,TRUE,FALSE
AL,secchi_max,1996-09-03,1996,247,245.54323534113973,0.6811709972362612,TRUE,FALSE
AL,secchi_max,1998-06-17,1998,168,167.5904504631567,0.9364711217635249,TRUE,FALSE
AL,secchi_max,2000-05-04,2000,125,124.13542061715047,0.9264747791309496,TRUE,FALSE
AL,secchi_max,2001-05-29,2001,149,149.375964412963,0.7527607937668872,TRUE,FALSE
AL,secchi_max,2002-08-26,2002,238,161.28538751423253,0.42139350707563095,TRUE,FALSE
AL,secchi_max,2003-05-29,2003,149,147.40080570346717,0.6994033850556773,TRUE,FALSE
AL,secchi_max,2004-05-24,2004,145,144.88062640938662,0.5107568813265204,TRUE,FALSE
AL,secchi_max,2005-05-31,2005,151,146.18496833042786,0.8412140292078178,TRUE,FALSE
AL,secchi_max,2006-05-30,2006,150,156.7594524914023,0.887543930212592,TRUE,FALSE
AL,secchi_max,2007-05-21,2007,141,128.17839744007026,0.71499880766936,TRUE,FALSE
AL,secchi_max,2008-06-02,2008,154,154.37274918015362,0.9447246062414676,TRUE,FALSE
AL,secchi_max,2009-06-08,2009,159,149.43656817826022,0.7918792936763497,TRUE,FALSE
AL,secchi_max,2010-04-27,2010,117,117.40916083275205,0.8924043335380464,TRUE,FALSE
AL,secchi_max,2011-06-13,2011,164,162.90628259157978,0.7590820898201869,TRUE,FALSE
AL,secchi_max,2012-05-14,2012,135,128.127313545187,0.7890408690145263,TRUE,FALSE
AL,secchi_max,2014-06-17,2014,168,172.25483181404948,0.8226267916335592,TRUE,FALSE
AL,secchi_max,2015-05-05,2015,125,125.43558370220772,0.6983796166337136,TRUE,FALSE
AL,secchi_max,2016-06-06,2016,158,215.47813011537565,0.658850010910002,TRUE,FALSE
AL,secchi_max,2017-05-03,2017,123,122.7901088601125,0.7936467739038989,TRUE,FALSE
AL,secchi_max,2018-09-17,2018,260,181.42386571334904,0.7754669712347139,TRUE,FALSE
AL,secchi_max,2019-06-18,2019,169,172.3369621104176,0.8651619541510329,TRUE,FALSE
BM,secchi_max,1982-06-21,1982,172,162.26817624942595,0.829098352110097,TRUE,FALSE
